iter	Passed	Remaining
0	6	631
1	9	455
2	11	377
3	13	321
4	16	316
5	20	317
6	23	316
7	26	304
8	29	298
9	34	306
10	36	294
11	38	282
12	41	277
13	43	266
14	47	268
15	49	261
16	51	253
17	54	247
18	56	240
19	59	237
20	62	234
21	64	229
22	67	225
23	69	220
24	71	214
25	76	218
26	79	213
27	81	209
28	83	205
29	86	201
30	88	197
31	91	193
32	93	189
33	95	185
34	97	181
35	100	177
36	102	174
37	104	170
38	107	167
39	109	164
40	111	160
41	112	155
42	117	156
43	121	154
44	124	152
45	127	149
46	129	146
47	134	145
48	136	142
49	139	139
50	141	136
51	144	133
52	147	131
53	151	128
54	153	125
55	155	122
56	157	118
57	161	116
58	163	113
59	165	110
60	167	107
61	169	103
62	171	100
63	174	98
64	176	95
65	178	92
66	180	89
67	182	85
68	184	83
69	189	81
70	191	78
71	193	75
72	195	72
73	197	69
74	199	66
75	201	63
76	203	60
77	206	58
78	208	55
79	211	52
80	213	50
81	216	47
82	219	44
83	221	42
84	223	39
85	226	36
86	230	34
87	232	31
88	235	29
89	237	26
90	239	23
91	241	20
92	244	18
93	246	15
94	247	13
95	249	10
96	251	7
97	253	5
98	255	2
99	259	0
