iter	Passed	Remaining
0	36	36310
1	38	19378
2	64	21410
3	66	16657
4	70	13968
5	82	13676
6	102	14469
7	116	14428
8	121	13358
9	128	12746
10	131	11857
11	134	11112
12	144	10959
13	146	10318
14	149	9796
15	152	9382
16	157	9135
17	160	8766
18	169	8746
19	172	8475
20	175	8204
21	180	8031
22	183	7814
23	187	7610
24	194	7574
25	199	7466
26	201	7277
27	204	7096
28	207	6962
29	210	6803
30	213	6670
31	216	6540
32	218	6413
33	223	6347
34	227	6265
35	229	6150
36	232	6054
37	240	6096
38	243	5997
39	246	5904
40	251	5891
41	256	5854
42	259	5765
43	261	5677
44	263	5599
45	282	5854
46	291	5902
47	298	5923
48	308	5981
49	312	5930
50	317	5899
51	320	5848
52	325	5809
53	337	5905
54	341	5864
55	343	5794
56	348	5772
57	353	5735
58	364	5815
59	369	5793
60	383	5903
61	388	5874
62	403	6004
63	452	6619
64	461	6640
65	470	6651
66	481	6699
67	496	6810
68	499	6736
69	506	6724
70	508	6656
71	510	6583
72	513	6514
73	522	6539
74	527	6502
75	529	6438
76	531	6375
77	534	6323
78	538	6283
79	544	6258
80	546	6202
81	549	6153
82	556	6152
83	563	6141
84	566	6097
85	574	6104
86	580	6095
87	591	6131
88	594	6084
89	596	6032
90	607	6072
91	610	6021
92	612	5977
93	618	5957
94	621	5919
95	623	5873
96	625	5825
97	633	5830
98	635	5786
99	637	5739
100	640	5697
101	642	5658
102	650	5662
103	652	5617
104	654	5576
105	656	5534
106	662	5530
107	664	5488
108	666	5449
109	669	5419
110	676	5414
111	678	5377
112	680	5341
113	683	5310
114	690	5314
115	693	5287
116	696	5256
117	703	5262
118	706	5233
119	708	5198
120	710	5164
121	723	5205
122	725	5172
123	727	5139
124	730	5115
125	733	5085
126	734	5052
127	737	5023
128	740	4997
129	744	4983
130	747	4957
131	749	4927
132	751	4899
133	754	4875
134	763	4894
135	765	4865
136	768	4837
137	770	4811
138	776	4811
139	778	4785
140	781	4761
141	783	4732
142	798	4783
143	806	4793
144	810	4780
145	821	4804
146	844	4902
147	855	4925
148	868	4958
149	872	4942
150	896	5041
151	903	5039
152	907	5022
153	917	5039
154	919	5012
155	923	4993
156	927	4980
157	935	4983
158	938	4966
159	944	4960
160	947	4935
161	949	4911
162	964	4954
163	969	4940
164	973	4925
165	976	4908
166	979	4887
167	990	4903
168	992	4879
169	994	4856
170	998	4842
171	1006	4843
172	1009	4823
173	1011	4801
174	1019	4806
175	1022	4785
176	1024	4763
177	1033	4773
178	1035	4751
179	1037	4728
180	1041	4712
181	1046	4705
182	1050	4687
183	1054	4674
184	1066	4698
185	1071	4688
186	1074	4670
187	1076	4651
188	1095	4701
189	1098	4683
190	1100	4662
191	1103	4643
192	1107	4632
193	1110	4613
194	1113	4594
195	1116	4579
196	1121	4573
197	1135	4599
198	1137	4579
199	1145	4582
200	1148	4565
201	1150	4546
202	1153	4529
203	1180	4607
204	1183	4588
205	1190	4588
206	1196	4584
207	1199	4567
208	1214	4594
209	1227	4619
210	1236	4624
211	1241	4614
212	1245	4601
213	1256	4614
214	1261	4607
215	1269	4607
216	1274	4599
217	1287	4618
218	1292	4609
219	1297	4598
220	1299	4581
221	1304	4571
222	1314	4579
223	1317	4564
224	1320	4549
225	1328	4551
226	1331	4535
227	1334	4517
228	1339	4509
229	1341	4491
230	1344	4476
231	1353	4481
232	1356	4464
233	1359	4448
234	1369	4457
235	1371	4441
236	1373	4423
237	1376	4405
238	1382	4403
239	1389	4400
240	1394	4392
241	1398	4379
242	1408	4387
243	1415	4384
244	1419	4375
245	1422	4360
246	1427	4351
247	1435	4353
248	1437	4337
249	1450	4352
250	1453	4337
251	1462	4342
252	1466	4329
253	1469	4314
254	1472	4300
255	1480	4302
256	1486	4298
257	1502	4321
258	1508	4316
259	1511	4302
260	1539	4357
261	1542	4345
262	1549	4343
263	1552	4329
264	1556	4318
265	1562	4310
266	1575	4324
267	1580	4316
268	1584	4307
269	1587	4292
270	1599	4303
271	1606	4298
272	1614	4300
273	1637	4338
274	1644	4334
275	1656	4345
276	1661	4336
277	1663	4321
278	1667	4309
279	1672	4301
280	1676	4290
281	1680	4279
282	1689	4280
283	1691	4263
284	1701	4267
285	1716	4284
286	1746	4338
287	1765	4365
288	1769	4352
289	1772	4338
